,City,Cloudiness,Country,Humidity,Latitude,Longitude,Temperature,Wind Speed
85,bahia blanca,92.0,ar,94.0,-38.72,-38.72,15.48,5.86
86,coihaique,0.0,cl,93.0,-45.58,-45.58,1.73,1.0
87,havoysund,75.0,no,99.0,71.0,71.0,1.0,10.8
88,quesnel,90.0,ca,86.0,53.0,53.0,-2.0,1.0
89,lavrentiya,,ru,,,,,
90,broken hill,,au,,,,,
91,alihe,,cn,,,,,
92,tuktoyaktuk,,ca,,,,,
93,attawapiskat,,ca,,,,,
94,tuatapere,,nz,,,,,
95,victoria,40.0,sc,58.0,-4.62,-4.62,31.0,5.7
96,olinda,,br,,,,,
97,lexington park,,us,,,,,
98,faanui,,pf,,,,,
99,port elizabeth,,za,,,,,
100,tessalit,,ml,,,,,
101,hithadhoo,,mv,,,,,
102,nuuk,88.0,gl,97.0,64.18,64.18,0.0,9.8
103,amderma,,ru,,,,,
104,thompson,90.0,ca,92.0,55.74,55.74,-8.0,1.0
105,kokstad,,za,,,,,
106,egvekinot,,ru,,,,,
107,port-cartier,,ca,,,,,
108,rorvik,,no,,,,,
109,taolanaro,,mg,,,,,
110,slave lake,1.0,ca,92.0,55.28,55.28,-13.0,1.0
111,effium,,ng,,,,,
112,honiara,,sb,,,,,
113,plunge,,lt,,,,,
114,puerto lopez,,co,,,,,
115,ribeira grande,,pt,,,,,
116,saskylakh,,ru,,,,,
117,caconda,,ao,,,,,
118,plettenberg bay,,za,,,,,
119,achisay,,kz,,,,,
120,san patricio,,mx,,,,,
121,nanortalik,,gl,,,,,
122,nikolskoye,,ru,,,,,
123,henderson,0.0,us,39.0,36.04,36.04,10.21,0.81
124,puerto ayora,,ec,,,,,
125,delijan,,ir,,,,,
126,agropoli,,it,,,,,
127,coos bay,,us,,,,,
128,vaini,,to,,,,,
129,mildura,,au,,,,,
130,doha,,kw,,,,,
131,sentyabrskiy,,ru,,,,,
132,muroto,,jp,,,,,
133,sioux lookout,,ca,,,,,
134,leningradskiy,,ru,,,,,
135,palabuhanratu,,id,,,,,
136,bathsheba,,bb,,,,,
137,kawhia,,nz,,,,,
138,new norfolk,,au,,,,,
139,bethel,,us,,,,,
140,hobart,75.0,au,76.0,-42.88,-42.88,13.0,10.8
141,tiarei,,pf,,,,,
142,yarada,,in,,,,,
143,vaitupu,,wf,,,,,
144,bonnyville,,ca,,,,,
145,hilo,,us,,,,,
146,aykhal,,ru,,,,,
147,heishan,,cn,,,,,
148,kodiak,,us,,,,,
149,ust-kuyga,80.0,ru,68.0,70.02,70.02,-23.19,1.39
150,nefteyugansk,,ru,,,,,
151,florianopolis,75.0,br,94.0,-27.6,-27.6,20.0,1.0
152,tzaneen,,za,,,,,
153,jalu,,ly,,,,,
154,praia da vitoria,,pt,,,,,
155,orange walk,,bz,,,,,
156,sao filipe,,cv,,,,,
157,puerto leguizamo,,co,,,,,
158,magadan,,ru,,,,,
159,videira,12.0,br,95.0,-27.01,-27.01,13.64,2.51
160,pevek,,ru,,,,,
161,afmadu,,so,,,,,
162,hare bay,,ca,,,,,
163,thunder bay,75.0,ca,95.0,48.4,48.4,0.0,1.0
164,zalaszentgrot,,hu,,,,,
165,swift current,,ca,,,,,
166,roswell,1.0,us,93.0,34.02,34.02,8.92,1.04
167,yenagoa,,ng,,,,,
168,kaitangata,,nz,,,,,
169,russell,,nz,,,,,
170,lata,,sb,,,,,
171,rajo khanani,,pk,,,,,
172,bambous virieux,,mu,,,,,
173,qaanaaq,80.0,gl,91.0,77.48,77.48,-11.99,2.34
174,taoudenni,,ml,,,,,
175,santa maria,75.0,cv,73.0,16.6,16.6,25.0,7.2
176,cayenne,,gf,,,,,
177,carnarvon,,au,,,,,
178,pasighat,,in,,,,,
179,severo-kurilsk,,ru,,,,,
180,saint-francois,,gp,,,,,
181,dzaoudzi,,yt,,,,,
182,bograd,,ru,,,,,
183,faya,,td,,,,,
184,azanka,68.0,ru,86.0,58.04,58.04,-6.79,2.29
185,mankato,,us,,,,,
186,fairbanks,1.0,us,76.0,64.84,64.84,-22.03,1.91
187,hami,,cn,,,,,
188,west plains,,us,,,,,
189,port pirie,,au,,,,,
190,darhan,,mn,,,,,
191,benghazi,0.0,ly,96.0,32.12,32.12,21.79,11.04
192,alice springs,0.0,au,22.0,-23.7,-23.7,27.0,5.7
193,te anau,,nz,,,,,
194,kavaratti,,in,,,,,
195,deer lake,,ca,,,,,
196,illoqqortoormiut,,gl,,,,,
197,puerto ayacucho,,ve,,,,,
198,longyearbyen,,sj,,,,,
199,kaeo,,nz,,,,,
200,kargasok,,ru,,,,,
201,husavik,,is,,,,,
202,bowen,,au,,,,,
203,tasiilaq,,gl,,,,,
204,tselinnoye,,ru,,,,,
205,nantucket,5.0,us,100.0,41.28,41.28,4.06,3.1
206,senanga,,zm,,,,,
207,torbay,,ca,,,,,
208,piet retief,,za,,,,,
209,khatanga,,ru,,,,,
210,butaritari,,ki,,,,,
211,sarkand,,kz,,,,,
212,ossora,,ru,,,,,
213,mackay,90.0,au,83.0,-21.15,-21.15,27.0,4.1
214,bredasdorp,,za,,,,,
215,caluquembe,,ao,,,,,
216,rio grande,,br,,,,,
217,port hedland,68.0,au,34.0,-20.32,-20.32,34.0,5.1
218,souillac,,mu,,,,,
219,belushya guba,,ru,,,,,
220,brae,,gb,,,,,
221,san antonio,,cl,,,,,
222,olafsvik,,is,,,,,
223,piacabucu,,br,,,,,
224,kingaroy,,au,,,,,
225,wanaka,,nz,,,,,
226,fort nelson,,ca,,,,,
227,lolua,,tv,,,,,
228,tromso,90.0,no,86.0,69.65,69.65,1.0,3.1
229,takapau,,nz,,,,,
230,port augusta,88.0,au,55.0,-32.5,-32.5,19.0,10.8
231,myitkyina,,mm,,,,,
232,clyde river,,ca,,,,,
233,katsuura,,jp,,,,,
234,nishihara,,jp,,,,,
235,balykshi,,kz,,,,,
236,anloga,20.0,gh,83.0,5.79,5.79,28.0,1.5
237,batagay,,ru,,,,,
238,marang,,my,,,,,
239,rantepao,,id,,,,,
240,bandarbeyla,0.0,so,100.0,9.49,9.49,26.97,9.34
241,arraial do cabo,90.0,br,100.0,-22.97,-22.97,21.39,2.24
242,aksarka,,ru,,,,,
243,atikokan,,ca,,,,,
244,shadegan,,ir,,,,,
245,wulanhaote,,cn,,,,,
246,mana,,gf,,,,,
247,shubarshi,,kz,,,,,
248,sydney,,au,,,,,
249,oranjemund,,na,,,,,
250,batemans bay,,au,,,,,
251,yulara,,au,,,,,
252,bolshiye berezniki,,ru,,,,,
253,bend,1.0,us,74.0,44.06,44.06,-3.48,3.6
254,pszczyna,,pl,,,,,
255,codrington,,ag,,,,,
256,forbes,,au,,,,,
257,chikoy,,ru,,,,,
258,cordoba,0.0,es,80.0,37.88,37.88,2.0,1.5
259,sotnikovskoye,,ru,,,,,
260,praya,,id,,,,,
261,sagua la grande,,cu,,,,,
262,meulaboh,,id,,,,,
263,bad hofgastein,,at,,,,,
264,huallanca,,pe,,,,,
265,maceio,0.0,br,88.0,-9.67,-9.67,23.0,2.1
266,sulangan,,ph,,,,,
267,nizhneyansk,,ru,,,,,
268,mafra,,br,,,,,
269,acapulco,,mx,,,,,
270,chuguyevka,80.0,ru,68.0,44.17,44.17,-4.99,3.06
271,ketchikan,,us,,,,,
272,mitsukaido,,jp,,,,,
273,smithers,,ca,,,,,
274,taunggyi,0.0,mm,59.0,20.78,20.78,22.64,1.44
275,hambantota,80.0,lk,100.0,6.12,6.12,26.82,2.91
276,karasjok,,no,,,,,
277,grindavik,,is,,,,,
278,gewane,,et,,,,,
279,dingle,,ie,,,,,
280,la trinitaria,,mx,,,,,
281,nenjiang,,cn,,,,,
282,zhigansk,,ru,,,,,
283,buckeye,,us,,,,,
284,san cristobal,,ec,,,,,
285,mys shmidta,,ru,,,,,
286,nimaparha,,in,,,,,
287,salalah,0.0,om,27.0,17.02,17.02,31.0,6.7
288,cherskiy,,ru,,,,,
289,cidreira,,br,,,,,
290,acayucan,,mx,,,,,
291,krabi,,th,,,,,
292,concepcion,8.0,py,85.0,-23.41,-23.41,22.39,3.46
293,ellensburg,90.0,us,99.0,47.0,47.0,0.02,0.99
294,karakendzha,,tj,,,,,
295,ilulissat,76.0,gl,54.0,69.22,69.22,-1.0,9.8
296,maicao,88.0,co,94.0,11.38,11.38,25.17,2.51
297,cururupu,76.0,br,82.0,-1.83,-1.83,26.02,4.06
298,samusu,,ws,,,,,
299,moose factory,,ca,,,,,
300,luderitz,0.0,na,64.0,-26.65,-26.65,21.0,5.1
301,guarapari,92.0,br,100.0,-20.67,-20.67,21.79,5.79
302,yingcheng,0.0,cn,62.0,30.95,30.95,13.0,2.0
303,tsihombe,,mg,,,,,
304,banjar,20.0,id,79.0,-8.19,-8.19,30.0,5.1
305,casino,80.0,au,79.0,-28.87,-28.87,22.6,3.19
306,hokitika,76.0,nz,99.0,-42.72,-42.72,16.14,1.66
307,raga,,sd,,,,,
308,shushenskoye,48.0,ru,78.0,53.33,53.33,-11.0,2.0
309,viligili,,mv,,,,,
310,ponta delgada,40.0,pt,77.0,37.73,37.73,19.0,6.7
311,wolsztyn,90.0,pl,100.0,52.12,52.12,2.0,2.1
312,carutapera,12.0,br,85.0,-1.2,-1.2,26.02,4.64
313,san policarpo,92.0,ph,91.0,12.18,12.18,27.94,4.31
314,marquette,90.0,us,86.0,46.54,46.54,4.94,4.6
315,kitimat,90.0,ca,100.0,54.05,54.05,0.0,0.76
316,alekseyevsk,,ru,,,,,
317,mecca,0.0,sa,55.0,21.43,21.43,32.0,0.89
318,flinders,100.0,au,72.0,-34.58,-34.58,20.0,3.6
319,iqaluit,90.0,ca,67.0,63.75,63.75,-7.0,4.39
320,nedjo,,et,,,,,
321,nueva imperial,0.0,cl,100.0,-38.73,-38.73,8.29,2.94
322,matagami,1.0,ca,100.0,49.75,49.75,-6.0,2.6
323,xinqing,0.0,cn,57.0,48.23,48.23,-24.89,1.14
324,amapa,,br,,,,,
325,vilyuysk,68.0,ru,72.0,63.76,63.76,-31.21,2.51
326,hasaki,20.0,jp,100.0,35.73,35.73,7.79,2.1
327,nome,80.0,us,92.0,64.5,64.5,-4.49,0.94
328,lebu,0.0,cl,97.0,-37.62,-37.62,11.79,9.64
329,carora,44.0,ve,91.0,10.18,10.18,17.39,1.34
330,belaya gora,68.0,ru,79.0,68.53,68.53,-22.19,1.49
331,tabiauea,,ki,,,,,
332,tobol,68.0,kz,83.0,52.68,52.68,-7.94,2.04
333,la tuque,56.0,ca,74.0,47.43,47.43,-12.29,1.24
334,yar-sale,88.0,ru,94.0,66.83,66.83,-9.39,4.89
335,richards bay,64.0,za,63.0,-28.78,-28.78,28.64,3.99
336,wanning,92.0,cn,100.0,18.8,18.8,22.52,10.76
337,selkirk,20.0,ca,92.0,50.14,50.14,-6.0,1.5
338,sembe,80.0,cg,90.0,1.65,1.65,24.19,1.34
339,ambilobe,20.0,mg,78.0,-13.2,-13.2,30.89,3.04
340,provideniya,88.0,ru,100.0,64.38,64.38,0.44,7.24
341,vestbygda,,no,,,,,
342,turayf,0.0,sa,47.0,31.67,31.67,14.0,3.1
343,flin flon,56.0,ca,72.0,54.77,54.77,-7.46,2.24
344,show low,1.0,us,72.0,34.25,34.25,7.0,4.1
345,conde,20.0,br,78.0,-7.26,-7.26,25.0,3.1
346,gunjur,64.0,gm,82.0,13.2,13.2,27.42,6.61
347,lompoc,1.0,us,86.0,34.64,34.64,7.05,1.46
348,fraserburgh,75.0,gb,81.0,57.69,57.69,6.0,2.6
349,hit,0.0,iq,65.0,33.64,33.64,18.47,4.74
350,ahipara,44.0,nz,86.0,-35.17,-35.17,18.07,4.29
351,geraldton,90.0,ca,100.0,49.73,49.73,-3.0,1.06
352,barawe,,so,,,,,
353,pangnirtung,76.0,ca,97.0,66.15,66.15,-8.86,2.56
354,bonavista,44.0,ca,100.0,48.65,48.65,-0.19,1.46
355,zaragoza,20.0,es,69.0,41.66,41.66,1.86,12.3
356,necochea,92.0,ar,100.0,-38.55,-38.55,13.92,3.01
357,goundi,0.0,td,21.0,9.36,9.36,33.32,3.26
358,klaksvik,68.0,fo,81.0,62.23,62.23,7.0,9.8
359,cadiz,0.0,es,100.0,36.53,36.53,5.0,6.2
360,kavieng,76.0,pg,100.0,-2.57,-2.57,29.69,5.64
361,umea,0.0,se,92.0,63.83,63.83,-7.0,1.5
362,sitka,1.0,us,100.0,57.05,57.05,-0.43,1.5
363,udachnyy,48.0,ru,64.0,66.42,66.42,-26.04,1.89
364,nautla,12.0,mx,100.0,20.22,20.22,24.22,1.94
365,ugoofaaru,76.0,mv,100.0,5.67,5.67,27.87,10.61
366,mayo,90.0,ca,84.0,63.59,63.59,-17.0,1.11
367,ancud,0.0,cl,85.0,-41.87,-41.87,6.57,2.56
368,banda aceh,92.0,id,100.0,5.56,5.56,23.77,0.71
369,tlalnepantla,75.0,mx,81.0,19.53,19.53,5.33,2.6
370,pahrump,1.0,us,38.0,36.21,36.21,6.41,0.71
371,barra,80.0,br,93.0,-11.09,-11.09,21.48,1.61
372,santiago del estero,88.0,ar,100.0,-27.8,-27.8,20.37,3.31
373,omura,75.0,jp,57.0,32.92,32.92,10.0,1.5
374,cockburn town,80.0,bs,100.0,24.03,24.03,25.12,8.46
375,mandera,0.0,ke,64.0,3.94,3.94,30.64,2.24
376,yara,56.0,cu,91.0,20.28,20.28,22.19,3.51
377,beloha,8.0,mg,61.0,-25.17,-25.17,31.79,3.51
378,presidencia roque saenz pena,76.0,ar,98.0,-26.79,-26.79,20.69,1.21
379,paita,20.0,pe,81.0,-5.09,-5.09,18.04,1.66
380,chor,0.0,pk,55.0,25.52,25.52,27.04,2.71
381,serenje,80.0,zm,76.0,-13.23,-13.23,24.42,2.51
382,bartica,20.0,gy,100.0,6.4,6.4,23.0,0.94
383,kudahuvadhoo,0.0,mv,98.0,2.67,2.67,28.92,10.61
384,northam,0.0,au,11.0,-31.67,-31.67,35.0,5.1
385,saint-augustin,92.0,ca,100.0,51.23,51.23,2.92,3.94
386,chicama,40.0,pe,88.0,-7.84,-7.84,18.0,2.6
387,perleberg,90.0,de,100.0,53.07,53.07,1.0,4.1
388,port lincoln,44.0,au,91.0,-34.73,-34.73,15.62,7.66
389,hamilton,40.0,bm,73.0,32.29,32.29,21.0,4.6
390,kande,0.0,tg,21.0,9.96,9.96,27.0,4.6
391,lichtenfels,90.0,de,79.0,50.15,50.15,-3.0,2.1
392,bodden town,76.0,ky,100.0,19.28,19.28,26.54,9.66
393,sarangani,0.0,ph,96.0,5.4,5.4,29.47,5.16
394,camacha,75.0,pt,63.0,33.08,33.08,18.0,6.2
395,la ronge,90.0,ca,79.0,55.1,55.1,-5.0,1.5
396,izazi,75.0,tz,45.0,-7.2,-7.2,28.0,1.5
397,barda,76.0,ru,90.0,56.93,56.93,-6.24,2.59
398,madimba,75.0,tz,62.0,-10.4,-10.4,31.0,3.1
399,nizwa,0.0,om,35.0,22.93,22.93,27.42,1.79
400,tautira,75.0,pf,78.0,-17.73,-17.73,26.0,1.5
401,mrirt,,ma,,,,,
402,pital,0.0,cr,60.0,10.45,10.45,20.0,5.7
403,bria,0.0,cf,49.0,6.54,6.54,28.97,3.99
404,chiang khong,20.0,th,54.0,20.26,20.26,28.0,3.1
405,pisco,20.0,pe,87.0,-13.7,-13.7,16.0,1.0
406,buraydah,75.0,sa,87.0,26.33,26.33,13.0,5.1
407,port blair,12.0,in,96.0,11.67,11.67,29.64,5.94
408,pingshan,32.0,cn,79.0,22.99,22.99,22.47,1.74
409,sorland,75.0,no,100.0,67.67,67.67,0.0,2.1
410,vredendal,8.0,za,61.0,-31.67,-31.67,20.72,1.94
411,cairns,75.0,au,70.0,-16.92,-16.92,29.0,4.6
412,fort-shevchenko,0.0,kz,100.0,44.51,44.51,0.57,5.51
413,stromness,40.0,gb,87.0,58.97,58.97,7.92,7.7
414,kentau,80.0,kz,90.0,43.52,43.52,-4.96,1.04
415,chodziez,90.0,pl,100.0,52.99,52.99,2.0,1.5
416,saleaula,,ws,,,,,
417,galle,64.0,lk,99.0,6.04,6.04,27.18,3.16
418,coahuayana,0.0,mx,100.0,18.73,18.73,23.77,2.51
419,rungata,,ki,,,,,
420,bemidji,1.0,us,85.0,47.47,47.47,-6.17,2.91
421,portland,68.0,au,100.0,-38.33,-38.33,14.89,10.16
422,north bend,1.0,us,100.0,43.41,43.41,6.0,4.1
423,old road,,ag,,,,,
424,thanh hoa,76.0,vn,84.0,19.8,19.8,21.39,2.24
425,suzun,56.0,ru,88.0,53.78,53.78,-11.11,1.59
426,fayetteville,90.0,us,81.0,35.05,35.05,9.11,2.6
427,veraval,24.0,in,50.0,20.9,20.9,30.47,1.91
428,barranca,76.0,pe,100.0,-10.75,-10.75,16.19,3.61
429,alofi,92.0,nu,94.0,-19.06,-19.06,25.0,5.7
430,ambunti,76.0,pg,97.0,-4.24,-4.24,25.54,0.66
431,erzin,44.0,ru,81.0,50.26,50.26,-14.14,1.04
432,bardiyah,0.0,ly,91.0,31.76,31.76,18.77,6.44
433,solnechnyy,0.0,ru,34.0,50.72,50.72,-30.56,0.99
434,mantenopolis,100.0,br,98.0,-18.86,-18.86,19.52,2.26
435,viedma,20.0,ar,90.0,-40.81,-40.81,9.19,2.86
436,chute-aux-outardes,90.0,ca,74.0,49.12,49.12,-1.43,2.6
437,winnemucca,1.0,us,85.0,40.97,40.97,-5.0,1.5
438,kahului,90.0,us,83.0,20.89,20.89,22.3,6.2
439,olden,,no,,,,,
440,fortuna,90.0,us,93.0,40.6,40.6,8.0,1.5
441,saint-leu,0.0,re,58.0,-21.15,-21.15,30.0,4.1
442,mehamn,76.0,no,97.0,71.04,71.04,1.47,7.96
443,orshanka,92.0,ru,90.0,56.92,56.92,-3.49,8.01
444,namibe,44.0,ao,100.0,-15.2,-15.2,21.67,1.51
445,vostok,64.0,ru,73.0,46.49,46.49,-12.64,1.84
446,tubruq,,ly,,,,,
447,alexandria,0.0,eg,60.0,31.22,31.22,20.33,4.1
448,delvine,40.0,al,93.0,39.95,39.95,12.38,0.89
449,ihosy,8.0,mg,84.0,-22.4,-22.4,25.39,1.34
450,arlit,20.0,ne,35.0,18.74,18.74,23.22,2.34
451,rosetta,0.0,eg,60.0,31.4,31.4,22.0,4.1
452,hohhot,0.0,cn,43.0,40.81,40.81,0.0,1.0
453,dubna,20.0,ru,92.0,56.73,56.73,-0.71,6.56
454,sedelnikovo,,ru,,,,,
455,canto do buriti,20.0,br,86.0,-8.11,-8.11,22.32,1.81
456,namatanai,64.0,pg,94.0,-3.67,-3.67,29.94,6.91
457,acarau,44.0,br,83.0,-2.89,-2.89,24.87,5.21
458,ponta do sol,75.0,pt,72.0,32.67,32.67,18.0,3.1
459,penzance,75.0,gb,93.0,50.12,50.12,7.32,1.0
460,ilebo,20.0,cd,82.0,-4.32,-4.32,27.79,1.29
461,don sak,20.0,th,70.0,9.32,9.32,30.4,6.7
462,aleppo,0.0,sy,65.0,36.2,36.2,16.57,2.01
463,avanigadda,20.0,in,48.0,16.02,16.02,29.0,2.6
464,nieves,0.0,mx,82.0,24.0,24.0,2.67,2.59
465,fare,92.0,pf,96.0,-16.7,-16.7,27.72,8.06
466,paka,75.0,my,94.0,4.64,4.64,26.0,1.5
467,toliary,,mg,,,,,
468,solvychegodsk,92.0,ru,84.0,61.33,61.33,-1.19,7.66
469,chapais,75.0,ca,92.0,49.78,49.78,-8.0,2.6
470,mujiayingzi,0.0,cn,38.0,42.12,42.12,-2.61,2.86
471,the valley,100.0,ai,100.0,18.22,18.22,24.37,4.66
472,tulungagung,12.0,id,78.0,-8.07,-8.07,27.82,2.14
473,jinchang,36.0,cn,30.0,38.5,38.5,0.87,1.71
474,hovorany,0.0,cz,92.0,48.95,48.95,-5.27,1.5
475,paramirim,92.0,br,98.0,-13.44,-13.44,17.77,1.16
476,taltal,20.0,cl,96.0,-25.4,-25.4,8.97,1.14
477,santo domingo,,ec,,,,,
478,pismo beach,1.0,us,75.0,35.14,35.14,6.77,1.11
479,bahia honda,12.0,cu,90.0,22.9,22.9,21.82,2.81
480,sinnamary,100.0,gf,100.0,5.38,5.38,25.92,4.66
481,madinat sittah uktubar,40.0,eg,77.0,29.82,29.82,20.0,3.6
482,amursk,0.0,ru,59.0,50.23,50.23,-29.21,1.16
483,jacmel,20.0,ht,100.0,18.23,18.23,26.37,1.81
484,urengoy,88.0,ru,91.0,65.97,65.97,-8.29,4.71
485,imabari,,jp,,,,,
486,filadelfia,32.0,py,85.0,-22.35,-22.35,23.42,2.79
487,litovko,0.0,ru,51.0,49.24,49.24,-19.79,3.26
488,ushtobe,,kz,,,,,
489,aflu,,dz,,,,,
490,fulacunda,,gw,,,,,
491,den chai,75.0,th,48.0,17.98,17.98,32.15,1.29
492,akureyri,20.0,is,41.0,65.68,65.68,6.0,8.7
493,saryshagan,,kz,,,,,
494,beyneu,64.0,kz,82.0,45.32,45.32,-2.44,2.04
495,kailua,90.0,us,78.0,21.4,21.4,24.23,5.7
496,isangel,92.0,vu,100.0,-19.55,-19.55,23.57,4.64
497,catamarca,,ar,,,,,
498,nelson bay,90.0,au,88.0,-32.72,-32.72,19.0,4.6
499,karratha,68.0,au,16.0,-20.74,-20.74,39.77,7.24
500,tabou,0.0,ci,100.0,4.42,4.42,27.82,4.21
501,kuryk,0.0,kz,100.0,43.2,43.2,0.77,5.79
502,sri aman,,my,,,,,
503,omsukchan,88.0,ru,67.0,62.53,62.53,-21.56,4.81
504,gorontalo,68.0,id,82.0,0.54,0.54,27.19,0.99
505,hovd,24.0,mn,73.0,48.01,48.01,-10.84,0.36
506,bud,,no,,,,,
507,atasu,36.0,kz,90.0,48.68,48.68,-3.94,2.04
508,port moresby,75.0,pg,79.0,-9.44,-9.44,29.0,3.1
509,gat,,ly,,,,,
